did,wei
74.0,3.0
197.0,2.0
202.0,0.0
231.0,3.0
401.0,2.0
446.0,2.0
547.0,1.0
668.0,2.0
670.0,2.0
786.0,1.0
788.0,1.0
139.0,2.0
955.0,2.0
987.0,2.0
988.0,2.0
1116.0,0.0
179.0,1.0
180.0,1.0
308.0,0.0
310.0,1.0
317.0,0.0
644.0,1.0
697.0,1.0
822.0,0.0
875.0,1.0
1034.0,1.0
1285.0,2.0
1329.0,0.0
1375.0,2.0
1379.0,0.0
1387.0,0.0
128.0,2.0
184.0,2.0
239.0,2.0
251.0,2.0
870.0,2.0
365.0,2.0
462.0,3.0
874.0,2.0
735.0,2.0
31.0,1.0
869.0,2.0
83.0,1.0
106.0,1.0
866.0,1.0
873.0,1.0
144.0,1.0
250.0,1.0
868.0,1.0
1065.0,1.0
641.0,1.0
912.0,1.0
710.0,2.0
736.0,2.0
762.0,1.0
786.0,1.0
833.0,2.0
107.0,3.0
